model_id,0
German_25_False,2.52/2.00&2.92/2.10&2.98/1.80&3.32/1.60\\
German_25_True,2.50/1.90&2.92/1.60&2.95/1.90&3.20/1.20\\
German_100,4.08/3.60&4.08/3.60&4.15/3.70&4.25/3.90\\
1,2.10/1.88&2.08/1.88&2.78/2.00&2.22/1.62\\
3,2.86/1.89&2.63/2.33&3.01/2.00&3.19/2.00\\
2,2.43/1.70&2.28/1.40&2.54/1.90&2.58/1.20\\
4,2.75/2.00&2.56/1.89&3.08/2.22&3.39/1.67\\
9_2,2.38/1.50&2.30/1.30&2.78/1.50&2.75/1.10\\
9_1,2.20/1.40&1.90/1.30&2.48/1.40&2.42/1.10\\
10,2.11/1.60&1.92/1.30&2.30/1.60&2.28/1.20\\
chatGPT_title,2.55/3.00&3.05/2.20&4.10/3.70&2.02/2.00\\
chatGPT_e2e,4.14/4.00&3.98/4.60&4.18/4.10&3.97/4.50\\
chatGPT_pipeline,4.35/4.00&4.30/4.30&4.55/4.00&4.35/4.20\\
